id,player,age,team,total_games,games_started,minutes_played,points_per_game
598,Jonas Valančiūnas,25,TOR,77,77,22.4,12.7
599,Denzel Valentine,24,CHI,77,37,27.2,10.2
600,Fred VanVleet,23,TOR,76,0,20,8.6
601,Rashad Vaughn,21,TOT,28,0,7.6,2.3
602,Rashad Vaughn,21,MIL,22,0,7.9,2.7
603,Rashad Vaughn,21,BRK,1,0,4,0
604,Rashad Vaughn,21,ORL,5,0,7,1
605,Noah Vonleh,22,TOT,54,16,16.2,4.9
606,Noah Vonleh,22,POR,33,12,14.4,3.6
607,Noah Vonleh,22,CHI,21,4,19,6.9
608,Nikola Vučević,27,ORL,57,57,29.5,16.5
609,Dwyane Wade,36,TOT,67,3,22.9,11.4
610,Dwyane Wade,36,CLE,46,3,23.2,11.2
611,Dwyane Wade,36,MIA,21,0,22.2,12
612,Dion Waiters,26,MIA,30,30,30.6,14.3
613,Kemba Walker,27,CHO,80,80,34.2,22.1
614,John Wall,27,WAS,41,41,34.4,19.4
615,Tyrone Wallace,23,LAC,30,19,28.4,9.7
616,Taurean Prince,23,ATL,82,82,30,14.1
617,Derrick Walton,22,MIA,16,0,9.2,1.8
618,Jameel Warney,24,DAL,3,0,9,5.7
619,T.J. Warren,24,PHO,65,65,33,19.6
620,Travis Wear,27,LAL,17,0,13.4,4.4
621,James Webb III,24,BRK,10,0,12,1.6
622,Briante Weber,25,TOT,18,0,13.2,2.8
623,Briante Weber,25,HOU,13,0,9.1,2
624,Briante Weber,25,MEM,5,0,23.8,4.8
625,David West,37,GSW,73,0,13.7,6.8
626,Russell Westbrook,29,OKC,80,80,36.4,25.4
627,Andrew White,24,ATL,15,0,13.9,4.6
628,Derrick White,23,SAS,17,0,8.2,3.2
629,Okaro White,25,MIA,6,4,13.3,3.3
630,Isaiah Whitehead,22,BRK,16,0,11.3,6.3
631,Hassan Whiteside,28,MIA,54,54,25.3,14
632,Andrew Wiggins,22,MIN,82,82,36.3,17.7
633,Jacob Wiley,23,BRK,5,0,6.6,0.8
634,Damien Wilkins,38,IND,19,1,8,1.7
635,Alan Williams,25,PHO,5,0,14,4
636,C.J. Williams,27,LAC,38,17,18.6,5.5
637,Derrick Williams,26,LAL,2,0,4.5,1
638,Lou Williams,31,LAC,79,19,32.8,22.6
639,Marvin Williams,31,CHO,78,78,25.7,9.5
640,Matt Williams,24,MIA,3,0,3.7,1.7
641,Troy Williams,23,TOT,21,1,14.6,6.3
642,Troy Williams,23,HOU,4,0,4.3,1.3
643,Troy Williams,23,NYK,17,1,17.1,7.5
644,D.J. Wilson,21,MIL,22,0,3.2,1
645,Jamil Wilson,27,LAC,15,10,18.3,7
646,Justise Winslow,21,MIA,68,25,24.7,7.8
647,Jeff Withey,27,DAL,9,0,4.3,1.7
648,Nate Wolters,26,UTA,5,0,3.8,0.4
649,Brandan Wright,30,TOT,28,1,13.6,5
650,Brandan Wright,30,MEM,27,1,13.6,5
651,Brandan Wright,30,HOU,1,0,15,4
652,Delon Wright,25,TOR,69,4,20.8,8
653,Guerschon Yabusele,22,BOS,33,4,7.1,2.4
654,James Young,22,PHI,6,0,10.2,2.8
655,Joe Young,25,IND,53,1,10.5,3.9
656,Nick Young,32,GSW,80,8,17.4,7.3
657,Thaddeus Young,29,IND,81,81,32.2,11.8
658,Cody Zeller,25,CHO,33,0,19,7.1
659,Tyler Zeller,28,TOT,66,34,16.8,6.7
660,Tyler Zeller,28,BRK,42,33,16.7,7.1
661,Tyler Zeller,28,MIL,24,1,16.9,5.9
662,Paul Zipser,23,CHI,54,12,15.3,4
663,Ante Žižić,21,CLE,32,2,6.7,3.7
664,Ivica Zubac,20,LAL,43,0,9.5,3.7
